,isbn,title,author,pub_year,publisher,categories,description,Category,Price,
0,2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,Actresses,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s. While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things aren't as simple as they appear -- Nora's letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Clara's life is shattered by a series of unforeseeable events. These twists of fate require all of Clara's courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test.",Entertainment,20.00,
1,374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,Medical,"Describes the great flu epidemic of 1918, an outbreak that killed some forty million people worldwide, and discusses the efforts of scientists and public health officials to understand and prevent another lethal pandemic",Educational,25.00,
2,399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,Fiction,"A Chinese immigrant who is convinced she is dying threatens to celebrate the Chinese New Year by unburdening herself of everybody's hidden truths, thus prompting a series of comic misunderstandings",Spiritual,45.00,
3,440234743,The Testament,John Grisham,1999,Dell,Fiction,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament","Entertainment,Educational",32.00,
4,452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Fiction,"Staring unflinchingly into the abyss of slavery, this novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.","Entertainment,Spiritual",43.00,
5,609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,Humor,"The staff of The Onion presents a satirical collection of mock headlines and news stories, including an account of the Pentagon's development of an A-bomb-resistant desk for schoolchildren","Entertainment,Educational,Spiritual",21.00,
6,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,Cooking,"In New Vegetarian Celia Brooks Brown presents an innovative approach to vegetarian cooking. There's practical advice on how to choose and prepare the major vegetarian ingredients, followed by 50 original, stylish recipes, all photographed by Philip Webb.","Educational,Spiritual",23.00,
7,971880107,Wild Animus,Rich Shapero,2004,Too Far,Fiction,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.","Spiritual,Entertainment",45.00,
8,345402871,Airframe,Michael Crichton,1997,Ballantine Books,Fiction,"A fatal mid-air collision involving a commercial airliner prompts a frantic, desperate investigation into the causes of the accident, in a thriller exploring the issue of safety and security in the aircraft industry",Entertainment,37.32,
9,345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Fiction,"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader.",Educational,38.56,
